Product Name,Actual Category,Top 5 Categories
Simple Joys by Carter's Baby Cardigan Sweater (Pack of 2),Fashion/Baby/Clothing/Baby Boys 0-24m/Knitwear,"['Fashion/Girls/Clothing/Knitwear/Cardigans', 'Fashion/Boys/Accessories/Cold Weather Sets', 'Fashion/Boys/Clothing/Sleepwear & Robes/Pyjama Sets', 'Fashion/Girls/Accessories/Cold Weather Sets', 'Fashion/Girls/Clothing/Swimwear/Two Pieces']"
AIDIER Baby Winter Mittens Knitted Gloves with Fleece Lined Hang Neck Mittens for Baby Boyes Girls 0-3 Years,Fashion/Baby/Clothing/Baby Girls 0-24m/Accessories/Gloves & Mittens,"['Fashion/Baby/Clothing/Baby Girls 0-24m/Knitwear', 'Fashion/Baby/Clothing/Baby Girls 0-24m/Accessories/Gloves & Mittens', 'Fashion/Baby/Clothing/Baby Boys 0-24m/Knitwear', 'Fashion/Baby/Clothing/Baby Boys 0-24m/Accessories/Gloves & Mittens', 'Fashion/Girls/Accessories/Gloves & Mittens']"
CERDÁ LIFE'S LITTLE MOMENTS Baby Boys Toddler Pajama Bottoms,Fashion/Baby/Clothing/Baby Boys 0-24m/Sleepwear & Robes/Pyjama Bottoms,"['Fashion/Boys/Clothing/Sleepwear & Robes/Pyjama Bottoms', 'Fashion/Baby/Clothing/Baby Boys 0-24m/Sleepwear & Robes/Pyjama Bottoms', 'Fashion/Baby/Clothing/Baby Boys 0-24m/Sleepwear & Robes/Pyjama Sets', 'Fashion/Baby/Clothing/Baby Boys 0-24m/Sleepwear & Robes/Pyjama Tops', 'Fashion/Baby/Clothing/Baby Girls 0-24m/Sleepwear & Robes/Pyjama Bottoms']"
Levi's Baby Boys' LVN Corduroy Overall 6ej335,Fashion/Baby/Clothing/Baby Boys 0-24m/Dungarees,"['Fashion/Boys/Clothing/Trousers', 'Fashion/Boys/Clothing/Jeans', 'Fashion/Boys/Clothing/Shorts', 'Fashion/Baby/Clothing/Baby Boys 0-24m/Underwear/Sets', 'Fashion/Baby/Clothing/Baby Boys 0-24m/Tops/Long Sleeves']"
Disney Donald Duck Baby Boy 2 Piece Pyjama Set Oh Boy!,Fashion/Baby/Clothing/Baby Boys 0-24m/Sleepwear & Robes/Pyjama Sets,"['Fashion/Boys/Clothing/Sleepwear & Robes/Pyjama Sets', 'Fashion/Baby/Clothing/Baby Boys 0-24m/Sleepwear & Robes/Pyjama Sets', 'Fashion/Baby/Clothing/Baby Boys 0-24m/Sleepwear & Robes/Pyjama Bottoms', 'Fashion/Baby/Clothing/Baby Boys 0-24m/Sleepwear & Robes/Pyjama Tops', 'Fashion/Baby/Clothing/Baby Boys 0-24m/Underwear/Sets']"
Levi's Baby Boys' Lvb Poster Logo Original Tee 6eh902 SS,Fashion/Baby/Clothing/Baby Boys 0-24m/Tops/T-Shirts,"['Fashion/Boys/Clothing/Activewear/Shirts & Tees/T-Shirts', 'Fashion/Boys/Clothing/Tops, T-Shirts & Shirts/T-Shirts', 'Fashion/Boys/Clothing/Activewear/Shirts & Tees/Polos', 'Fashion/Boys/Clothing/Tops, T-Shirts & Shirts/Polos', 'Fashion/Boys/Clothing/Activewear/Shirts & Tees/Long Sleeve Tops']"
Baby Snowsuit Hooded Romper Winter Outfits Cartoon Bear Boys Girls Jumpsuit,Fashion/Baby/Clothing/Baby Boys 0-24m/Snow & Rainwear/Snowsuits,"['Fashion/Boys/Clothing/Snow & Rainwear/Snowsuits', 'Fashion/Girls/Clothing/Snow & Rainwear/Snowsuits', 'Fashion/Baby/Clothing/Baby Boys 0-24m/Snow & Rainwear/Snowsuits', 'Fashion/Baby/Clothing/Baby Boys 0-24m/Bodysuits & One-Pieces/Rompers', 'Fashion/Baby/Clothing/Baby Girls 0-24m/Snow & Rainwear/Snowsuits']"
"Baby Bodysuits, Baby Vests, Newborn Vests, Cotton Short Sleeved Newborn Bodysuit, British Made for Boys or Girls, 5 Pack",Fashion/Baby/Clothing/Baby Boys 0-24m/Bodysuits & One-Pieces/Bodysuits,"['Fashion/Baby/Clothing/Baby Boys 0-24m/Bodysuits & One-Pieces/Bodysuits', 'Fashion/Baby/Clothing/Baby Girls 0-24m/Bodysuits & One-Pieces/Bodysuits', 'Fashion/Baby/Clothing/Baby Boys 0-24m/Bodysuits & One-Pieces/Rompers', 'Fashion/Baby/Clothing/Baby Girls 0-24m/Bodysuits & One-Pieces/Rompers', 'Fashion/Baby/Clothing/Baby Boys 0-24m/Bodysuits & One-Pieces/Footies']"
Little Seeds New Born Swaddle Wrap 0-3 Months 100% Organic Cotton Pack of 3 - Baby Blankets For Boy and Girl - Hip-Healthy Design,Fashion/Baby/Clothing/Baby Boys 0-24m/Sleepwear & Robes/Swaddles,"['Fashion/Baby/Clothing/Baby Girls 0-24m/Sleepwear & Robes/Swaddles', 'Fashion/Baby/Clothing/Baby Boys 0-24m/Sleepwear & Robes/Swaddles', 'Fashion/Baby/Clothing/Unisex', 'Fashion/Baby/Clothing/Baby Girls 0-24m/Outfits & Clothing Sets/Skirt & Top Sets', 'Fashion/Luggage & Travel Gear/Accessories/Travel Accessories/Travel Blankets']"
"Bramble & Bear (6-Pack) Unisex Baby Grip Socks - Non-Slip Baby Socks with Soft Cotton Construction - Assorted Blues & Pinks for Ages 0-5 Years - Comfortable, Flexible, Breathable",Fashion/Baby/Clothing/Baby Boys 0-24m/Socks & Tights/Socks,"['Fashion/Baby/Clothing/Unisex', 'Fashion/Baby/Shoes/Baby Boys/Slippers', 'Fashion/Baby/Shoes/Baby Girls/Slippers', 'Fashion/Baby/Clothing/Baby Girls 0-24m/Socks & Tights/Socks', 'Fashion/Baby/Shoes/Baby Girls/Booties']"
Racker-n-Roll Baby Boys' Track Jacket Black Black - Black - 80/86 cm,Fashion/Baby/Clothing/Baby Boys 0-24m/Hoodies & Tracksuits/Track Jackets,"['Fashion/Boys/Clothing/Activewear/Track Jackets', 'Fashion/Baby/Clothing/Baby Boys 0-24m/Hoodies & Tracksuits/Track Jackets', 'Fashion/Boys/Clothing/Coats, Jackets & Gilets/Jackets', 'Fashion/Boys/Clothing/Activewear/Sets/Tracksuits', 'Fashion/Baby/Clothing/Baby Boys 0-24m/Hoodies & Tracksuits/Tracksuits']"
Sterntaler Unisex_Baby Regenträgerhose Ungefüttert Rain Trouser,Fashion/Baby/Clothing/Baby Boys 0-24m/Snow & Rainwear/Rain Trousers,"['Fashion/Baby/Clothing/Baby Girls 0-24m/Snow & Rainwear/Rain Trousers', 'Fashion/Baby/Clothing/Baby Boys 0-24m/Snow & Rainwear/Rain Trousers', 'Fashion/Baby/Clothing/Unisex', 'Fashion/Baby/Clothing/Baby Girls 0-24m/Trousers', 'Fashion/Baby/Clothing/Baby Boys 0-24m/Trousers']"
Kidorable Kids Lucky Cat Raincoat (Extra Small (70-76cm 12-18 months)),Fashion/Baby/Clothing/Baby Boys 0-24m/Snow & Rainwear/Raincoats,"['Fashion/Baby/Clothing/Baby Boys 0-24m/Snow & Rainwear/Raincoats', 'Fashion/Baby/Clothing/Baby Girls 0-24m/Snow & Rainwear/Raincoats', 'Fashion/Baby/Clothing/Baby Boys 0-24m/Coats, Jackets & Gilets/Raincoats', 'Fashion/Baby/Clothing/Baby Girls 0-24m/Coats, Jackets & Gilets/Raincoats', 'Fashion/Boys/Clothing/Snow & Rainwear/Raincoats']"
Hatley Baby Boys Printed Raincoats,"Fashion/Baby/Clothing/Baby Boys 0-24m/Coats, Jackets & Gilets/Raincoats","['Fashion/Baby/Clothing/Baby Boys 0-24m/Snow & Rainwear/Raincoats', 'Fashion/Baby/Clothing/Baby Boys 0-24m/Coats, Jackets & Gilets/Raincoats', 'Fashion/Boys/Clothing/Snow & Rainwear/Raincoats', 'Fashion/Boys/Clothing/Coats, Jackets & Gilets/Raincoats', 'Fashion/Baby/Clothing/Baby Boys 0-24m/Snow & Rainwear/Rain Trousers']"
"IPENNY Toddler Magic Stretch Mittens Thick Plush Lined, Winter Baby Boys Girls Knitted Gloves Warm Fluffy Full Finger Gloves Cold Weather Ski Gloves for 0-6 Y",Fashion/Baby/Clothing/Baby Boys 0-24m/Accessories/Gloves & Mittens,"['Fashion/Baby/Clothing/Baby Girls 0-24m/Accessories/Gloves & Mittens', 'Fashion/Baby/Clothing/Baby Boys 0-24m/Accessories/Gloves & Mittens', 'Fashion/Boys/Accessories/Gloves & Mittens', 'Fashion/Girls/Accessories/Gloves & Mittens', 'Fashion/Boys/Accessories/Cold Weather Sets']"
XIAOHAWANG Knitted Baby Boys Girls Scarf Warm Autumn Winter Toddler Scarves Cotton Kids Neck Warmer,Fashion/Baby/Clothing/Baby Boys 0-24m/Accessories/Scarves,"['Fashion/Baby/Clothing/Baby Girls 0-24m/Knitwear', 'Fashion/Baby/Clothing/Baby Boys 0-24m/Knitwear', 'Fashion/Baby/Clothing/Baby Girls 0-24m/Accessories/Neckerchiefs', 'Fashion/Baby/Clothing/Baby Boys 0-24m/Accessories/Neckerchiefs', 'Fashion/Girls/Accessories/Cold Weather Sets']"
Boys Baby Long Sleeve Top Stand Collar Cotton Little Big Boy's Button Down Shirt Kids Causal Shirts for 2-8 Years,"Fashion/Boys/Clothing/Tops, T-Shirts & Shirts/Long Sleeve Tops","['Fashion/Boys/Clothing/Tops, T-Shirts & Shirts/Long Sleeve Tops', 'Fashion/Boys/Clothing/Tops, T-Shirts & Shirts/Button-Down Shirts', 'Fashion/Boys/Clothing/Tops, T-Shirts & Shirts/Polos', 'Fashion/Boys/Clothing/Activewear/Shirts & Tees/Button-down Shirts', ""Fashion/Novelty & Special Use Clothing/Work Wear & Uniforms/School Uniforms/Boys'/Tops""]"
Chamie Baby grows Sleepsuits Rompers Long Sleeve Boys Girls Cotton 0-3m/3-6m/6-9m/9-12m,Fashion/Baby/Clothing/Baby Boys 0-24m/Sleepwear & Robes/Sleepsuits,"['Fashion/Baby/Clothing/Baby Boys 0-24m/Sleepwear & Robes/Sleepsuits', 'Fashion/Baby/Clothing/Baby Girls 0-24m/Sleepwear & Robes/Sleepsuits', 'Fashion/Baby/Clothing/Baby Boys 0-24m/Sleepwear & Robes/Pyjama Sets', 'Fashion/Baby/Clothing/Baby Boys 0-24m/Sleepwear & Robes/Swaddles', 'Fashion/Baby/Clothing/Baby Boys 0-24m/Bodysuits & One-Pieces/Bodysuits']"
The Children's Place Baby Boys' School Uniform Polo Shirt,Fashion/Baby/Clothing/Baby Boys 0-24m/Tops/Polos,"['Fashion/Boys/Clothing/Tops, T-Shirts & Shirts/Polos', 'Fashion/Baby/Clothing/Baby Boys 0-24m/Tops/Polos', ""Fashion/Novelty & Special Use Clothing/Work Wear & Uniforms/School Uniforms/Boys'/Trousers"", ""Fashion/Novelty & Special Use Clothing/Work Wear & Uniforms/School Uniforms/Boys'/Sets"", ""Fashion/Novelty & Special Use Clothing/Work Wear & Uniforms/School Uniforms/Boys'/Tops""]"
Cosilana Baby Long-Sleeved Vest 70% Wool 30% Silk,Fashion/Baby/Clothing/Baby Boys 0-24m/Underwear/Vests,"['Fashion/Baby/Clothing/Baby Girls 0-24m/Tops/Vests', 'Fashion/Baby/Clothing/Baby Girls 0-24m/Underwear/Vests', 'Fashion/Baby/Clothing/Baby Girls 0-24m/Tops/Long Sleeves', 'Fashion/Baby/Clothing/Baby Boys 0-24m/Tops/Vests', 'Fashion/Baby/Clothing/Baby Boys 0-24m/Underwear/Vests']"
